,year,raceId,driverId,constructorId,number,grid,position,positionText,points,laps,time,miliseconds,fastestLap,fastestLapSpeed,statusId,fastestLapTime
0,2010,1,alonso,alonso,14,3,1,1,25,49,1:39:20.396,5960396,45,,Finished,1:58.287
1,2010,1,massa,massa,19,2,2,2,18,49,+16.099,5976495,38,,Finished,1:59.732
2,2010,1,hamilton,hamilton,44,4,3,3,15,49,+23.182,5983578,42,,Finished,1:59.560
3,2010,1,vettel,vettel,5,1,4,4,12,49,+38.799,5999195,32,,Finished,2:00.218
4,2010,1,rosberg,rosberg,6,5,5,5,10,49,+40.213,6000609,45,,Finished,2:00.236
5,2010,1,michael_schumacher,michael_schumacher,,7,6,6,8,49,+44.163,6004559,45,,Finished,2:00.204
6,2010,1,button,button,22,8,7,7,6,49,+45.280,6005676,45,,Finished,1:59.970
7,2010,1,webber,webber,,6,8,8,4,49,+46.360,6006756,45,,Finished,1:59.487
8,2010,1,liuzzi,liuzzi,,12,9,9,2,49,+53.008,6013404,39,,Finished,1:59.906
9,2010,1,barrichello,barrichello,,11,10,10,1,49,+1:02.489,6022885,47,,Finished,1:59.833
10,2010,1,kubica,kubica,88,9,11,11,0,49,+1:09.093,6029489,33,,Finished,2:00.474
11,2010,1,sutil,sutil,99,10,12,12,0,49,+1:22.958,6043354,49,,Finished,1:59.393
12,2010,1,alguersuari,alguersuari,,18,13,13,0,49,+1:32.656,6053052,28,,Finished,1:59.964
13,2010,1,hulkenberg,hulkenberg,27,13,14,14,0,48,,,34,,+1 Lap,2:01.401
14,2010,1,kovalainen,kovalainen,,21,15,15,0,47,,,47,,+2 Laps,2:02.701
15,2010,1,buemi,buemi,,15,16,16,0,46,,,41,,Electrical,2:00.080
16,2010,1,trulli,trulli,,20,17,17,0,46,,,34,,Hydraulics,2:02.930
17,2010,1,rosa,rosa,,14,18,R,0,28,,,27,,Hydraulics,2:01.650
18,2010,1,bruno_senna,bruno_senna,,23,19,R,0,17,,,14,,Overheating,2:09.127
19,2010,1,glock,glock,,19,20,R,0,16,,,11,,Gearbox,2:07.062
20,2010,1,petrov,petrov,,17,21,R,0,13,,,7,,Suspension,2:04.307
21,2010,1,kobayashi,kobayashi,10,16,22,R,0,11,,,4,,Hydraulics,2:05.044
22,2010,1,grassi,grassi,,22,23,R,0,2,,,2,,Hydraulics,2:09.361
23,2010,1,chandhok,chandhok,,24,24,R,0,1,,,,,Accident,
24,2010,2,button,button,22,4,1,1,25,58,1:33:36.531,5616531,52,,Finished,1:29.291
25,2010,2,kubica,kubica,88,9,2,2,18,58,+12.034,5628565,52,,Finished,1:29.570
26,2010,2,massa,massa,19,5,3,3,15,58,+14.488,5631019,52,,Finished,1:29.537
27,2010,2,alonso,alonso,14,3,4,4,12,58,+16.304,5632835,47,,Finished,1:29.707
28,2010,2,rosberg,rosberg,6,6,5,5,10,58,+16.683,5633214,53,,Finished,1:28.489
29,2010,2,hamilton,hamilton,44,11,6,6,8,58,+29.898,5646429,47,,Finished,1:28.506
30,2010,2,liuzzi,liuzzi,,13,7,7,6,58,+59.847,5676378,55,,Finished,1:29.685
31,2010,2,barrichello,barrichello,,8,8,8,4,58,+1:00.536,5677067,58,,Finished,1:29.210
32,2010,2,webber,webber,,2,9,9,2,58,+1:07.319,5683850,47,,Finished,1:28.358
33,2010,2,michael_schumacher,michael_schumacher,,7,10,10,1,58,+1:09.391,5685922,58,,Finished,1:29.185
34,2010,2,alguersuari,alguersuari,,17,11,11,0,58,+1:11.301,5687832,49,,Finished,1:29.713
35,2010,2,rosa,rosa,,14,12,12,0,58,+1:14.084,5690615,54,,Finished,1:30.587
36,2010,2,kovalainen,kovalainen,,19,13,13,0,56,,,52,,+2 Laps,1:33.638
37,2010,2,chandhok,chandhok,,22,14,14,0,53,,,48,,+5 Laps,1:35.045
38,2010,2,glock,glock,,23,15,R,0,41,,,37,,Suspension,1:34.230
39,2010,2,grassi,grassi,,24,16,R,0,26,,,17,,Hydraulics,1:36.607
40,2010,2,vettel,vettel,5,1,17,R,0,25,,,22,,Wheel,1:31.556
41,2010,2,sutil,sutil,99,10,18,R,0,9,,,6,,Engine,1:43.223
42,2010,2,petrov,petrov,,18,19,R,0,9,,,6,,Spun off,1:43.132
43,2010,2,bruno_senna,bruno_senna,,21,20,R,0,4,,,4,,Hydraulics,2:27.276
44,2010,2,buemi,buemi,,12,21,R,0,0,,,,,Collision,
45,2010,2,hulkenberg,hulkenberg,27,15,22,R,0,0,,,,,Collision,
46,2010,2,kobayashi,kobayashi,10,16,23,R,0,0,,,,,Collision,
47,2010,2,trulli,trulli,,20,24,W,0,0,,,,,Hydraulics,
48,2010,3,vettel,vettel,5,3,1,1,25,56,1:33:48.412,5628412,53,,Finished,1:37.813
49,2010,3,webber,webber,,1,2,2,18,56,+4.849,5633261,53,,Finished,1:37.054
50,2010,3,rosberg,rosberg,6,2,3,3,15,56,+13.504,5641916,53,,Finished,1:38.129
51,2010,3,kubica,kubica,88,6,4,4,12,56,+18.589,5647001,55,,Finished,1:38.074
52,2010,3,sutil,sutil,99,4,5,5,10,56,+21.059,5649471,55,,Finished,1:38.160
53,2010,3,hamilton,hamilton,44,20,6,6,8,56,+23.471,5651883,32,,Finished,1:37.745
54,2010,3,massa,massa,19,21,7,7,6,56,+27.068,5655480,48,,Finished,1:37.784
55,2010,3,button,button,22,17,8,8,4,56,+37.918,5666330,49,,Finished,1:38.501
56,2010,3,alguersuari,alguersuari,,14,9,9,2,56,+1:10.602,5699014,44,,Finished,1:39.489
57,2010,3,hulkenberg,hulkenberg,27,5,10,10,1,56,+1:13.399,5701811,51,,Finished,1:39.124
58,2010,3,buemi,buemi,,13,11,11,0,56,+1:18.938,5707350,54,,Finished,1:37.610
59,2010,3,barrichello,barrichello,,7,12,12,0,55,,,46,,+1 Lap,1:39.428
60,2010,3,alonso,alonso,14,19,13,13,0,54,,,41,,Engine,1:37.231
61,2010,3,grassi,grassi,,24,14,14,0,53,,,28,,+3 Laps,1:43.224
62,2010,3,chandhok,chandhok,,22,15,15,0,53,,,40,,+3 Laps,1:44.790
63,2010,3,bruno_senna,bruno_senna,,23,16,16,0,52,,,39,,+4 Laps,1:45.334
64,2010,3,trulli,trulli,,18,17,17,0,51,,,31,,+5 Laps,1:43.753
65,2010,3,kovalainen,kovalainen,,15,18,N,0,46,,,44,,+10 Laps,1:42.701
66,2010,3,petrov,petrov,,11,19,R,0,32,,,32,,Gearbox,1:40.693
67,2010,3,liuzzi,liuzzi,,10,20,R,0,12,,,9,,Throttle,1:42.594
68,2010,3,michael_schumacher,michael_schumacher,,8,21,R,0,9,,,9,,Wheel,1:42.084
69,2010,3,kobayashi,kobayashi,10,9,22,R,0,8,,,6,,Engine,1:43.340
70,2010,3,glock,glock,,16,23,R,0,2,,,2,,Spun off,1:46.388
71,2010,3,rosa,rosa,,12,24,W,0,0,,,,,Engine,
72,2010,4,button,button,22,5,1,1,25,56,1:46:42.163,6402163,14,,Finished,1:42.886
73,2010,4,hamilton,hamilton,44,6,2,2,18,56,+1.530,6403693,13,,Finished,1:42.061
74,2010,4,rosberg,rosberg,6,4,3,3,15,56,+9.484,6411647,14,,Finished,1:43.245
75,2010,4,alonso,alonso,14,3,4,4,12,56,+11.869,6414032,14,,Finished,1:44.134
76,2010,4,kubica,kubica,88,8,5,5,10,56,+22.213,6424376,14,,Finished,1:43.630
77,2010,4,vettel,vettel,5,1,6,6,8,56,+33.310,6435473,14,,Finished,1:42.358
78,2010,4,petrov,petrov,,14,7,7,6,56,+47.600,6449763,14,,Finished,1:43.801
79,2010,4,webber,webber,,2,8,8,4,56,+52.172,6454335,14,,Finished,1:42.609
80,2010,4,massa,massa,19,7,9,9,2,56,+57.796,6459959,14,,Finished,1:44.594
81,2010,4,michael_schumacher,michael_schumacher,,9,10,10,1,56,+1:01.749,6463912,14,,Finished,1:44.298
82,2010,4,sutil,sutil,99,10,11,11,0,56,+1:02.874,6465037,14,,Finished,1:44.364
83,2010,4,barrichello,barrichello,,11,12,12,0,56,+1:03.665,6465828,17,,Finished,1:45.559
84,2010,4,alguersuari,alguersuari,,12,13,13,0,56,+1:11.416,6473579,14,,Finished,1:43.755
85,2010,4,kovalainen,kovalainen,,21,14,14,0,55,,,14,,+1 Lap,1:47.141
86,2010,4,hulkenberg,hulkenberg,27,16,15,15,0,55,,,13,,+1 Lap,1:44.549
87,2010,4,bruno_senna,bruno_senna,,23,16,16,0,54,,,16,,+2 Laps,1:48.216
88,2010,4,chandhok,chandhok,,24,17,17,0,52,,,15,,+4 Laps,1:48.788
89,2010,4,trulli,trulli,,20,18,R,0,26,,,14,,Hydraulics,1:49.675
