year,circuitId,name,location,country,lat,lng,alt,url
1950,bremgarten,Circuit Bremgarten,Bern,Switzerland,46.9589,7.40194,Bern,http://en.wikipedia.org/wiki/Circuit_Bremgarten
1950,indianapolis,Indianapolis Motor Speedway,Indianapolis,USA,39.795,-86.2347,Indianapolis,http://en.wikipedia.org/wiki/Indianapolis_Motor_Speedway
1950,monaco,Circuit de Monaco,Monte-Carlo,Monaco,43.7347,7.42056,Monte-Carlo,http://en.wikipedia.org/wiki/Circuit_de_Monaco
1950,monza,Autodromo Nazionale di Monza,Monza,Italy,45.6156,9.28111,Monza,http://en.wikipedia.org/wiki/Autodromo_Nazionale_Monza
1950,reims,Reims-Gueux,Reims,France,49.2542,3.93083,Reims,http://en.wikipedia.org/wiki/Reims-Gueux
1950,silverstone,Silverstone Circuit,Silverstone,UK,52.0786,-1.01694,Silverstone,http://en.wikipedia.org/wiki/Silverstone_Circuit
1950,spa,Circuit de Spa-Francorchamps,Spa,Belgium,50.4372,5.97139,Spa,http://en.wikipedia.org/wiki/Circuit_de_Spa-Francorchamps
1951,bremgarten,Circuit Bremgarten,Bern,Switzerland,46.9589,7.40194,Bern,http://en.wikipedia.org/wiki/Circuit_Bremgarten
1951,indianapolis,Indianapolis Motor Speedway,Indianapolis,USA,39.795,-86.2347,Indianapolis,http://en.wikipedia.org/wiki/Indianapolis_Motor_Speedway
1951,monza,Autodromo Nazionale di Monza,Monza,Italy,45.6156,9.28111,Monza,http://en.wikipedia.org/wiki/Autodromo_Nazionale_Monza
1951,nurburgring,Nürburgring,Nürburg,Germany,50.3356,6.9475,Nürburg,http://en.wikipedia.org/wiki/N%C3%BCrburgring
1951,pedralbes,Circuit de Pedralbes,Barcelona,Spain,41.3903,2.11667,Barcelona,http://en.wikipedia.org/wiki/Pedralbes_Circuit
1951,reims,Reims-Gueux,Reims,France,49.2542,3.93083,Reims,http://en.wikipedia.org/wiki/Reims-Gueux
1951,silverstone,Silverstone Circuit,Silverstone,UK,52.0786,-1.01694,Silverstone,http://en.wikipedia.org/wiki/Silverstone_Circuit
1951,spa,Circuit de Spa-Francorchamps,Spa,Belgium,50.4372,5.97139,Spa,http://en.wikipedia.org/wiki/Circuit_de_Spa-Francorchamps
1952,bremgarten,Circuit Bremgarten,Bern,Switzerland,46.9589,7.40194,Bern,http://en.wikipedia.org/wiki/Circuit_Bremgarten
1952,essarts,Rouen-Les-Essarts,Rouen,France,49.3306,1.00458,Rouen,http://en.wikipedia.org/wiki/Rouen-Les-Essarts
1952,indianapolis,Indianapolis Motor Speedway,Indianapolis,USA,39.795,-86.2347,Indianapolis,http://en.wikipedia.org/wiki/Indianapolis_Motor_Speedway
1952,monza,Autodromo Nazionale di Monza,Monza,Italy,45.6156,9.28111,Monza,http://en.wikipedia.org/wiki/Autodromo_Nazionale_Monza
1952,nurburgring,Nürburgring,Nürburg,Germany,50.3356,6.9475,Nürburg,http://en.wikipedia.org/wiki/N%C3%BCrburgring
1952,silverstone,Silverstone Circuit,Silverstone,UK,52.0786,-1.01694,Silverstone,http://en.wikipedia.org/wiki/Silverstone_Circuit
1952,spa,Circuit de Spa-Francorchamps,Spa,Belgium,50.4372,5.97139,Spa,http://en.wikipedia.org/wiki/Circuit_de_Spa-Francorchamps
1952,zandvoort,Circuit Park Zandvoort,Zandvoort,Netherlands,52.3888,4.54092,Zandvoort,http://en.wikipedia.org/wiki/Circuit_Zandvoort
1953,bremgarten,Circuit Bremgarten,Bern,Switzerland,46.9589,7.40194,Bern,http://en.wikipedia.org/wiki/Circuit_Bremgarten
1953,galvez,Autódromo Juan y Oscar Gálvez,Buenos Aires,Argentina,-34.6943,-58.4593,Buenos Aires,http://en.wikipedia.org/wiki/Aut%C3%B3dromo_Oscar_Alfredo_G%C3%A1lvez
1953,indianapolis,Indianapolis Motor Speedway,Indianapolis,USA,39.795,-86.2347,Indianapolis,http://en.wikipedia.org/wiki/Indianapolis_Motor_Speedway
1953,monza,Autodromo Nazionale di Monza,Monza,Italy,45.6156,9.28111,Monza,http://en.wikipedia.org/wiki/Autodromo_Nazionale_Monza
1953,nurburgring,Nürburgring,Nürburg,Germany,50.3356,6.9475,Nürburg,http://en.wikipedia.org/wiki/N%C3%BCrburgring
1953,reims,Reims-Gueux,Reims,France,49.2542,3.93083,Reims,http://en.wikipedia.org/wiki/Reims-Gueux
1953,silverstone,Silverstone Circuit,Silverstone,UK,52.0786,-1.01694,Silverstone,http://en.wikipedia.org/wiki/Silverstone_Circuit
1953,spa,Circuit de Spa-Francorchamps,Spa,Belgium,50.4372,5.97139,Spa,http://en.wikipedia.org/wiki/Circuit_de_Spa-Francorchamps
1953,zandvoort,Circuit Park Zandvoort,Zandvoort,Netherlands,52.3888,4.54092,Zandvoort,http://en.wikipedia.org/wiki/Circuit_Zandvoort
1954,bremgarten,Circuit Bremgarten,Bern,Switzerland,46.9589,7.40194,Bern,http://en.wikipedia.org/wiki/Circuit_Bremgarten
1954,galvez,Autódromo Juan y Oscar Gálvez,Buenos Aires,Argentina,-34.6943,-58.4593,Buenos Aires,http://en.wikipedia.org/wiki/Aut%C3%B3dromo_Oscar_Alfredo_G%C3%A1lvez
1954,indianapolis,Indianapolis Motor Speedway,Indianapolis,USA,39.795,-86.2347,Indianapolis,http://en.wikipedia.org/wiki/Indianapolis_Motor_Speedway
1954,monza,Autodromo Nazionale di Monza,Monza,Italy,45.6156,9.28111,Monza,http://en.wikipedia.org/wiki/Autodromo_Nazionale_Monza
1954,nurburgring,Nürburgring,Nürburg,Germany,50.3356,6.9475,Nürburg,http://en.wikipedia.org/wiki/N%C3%BCrburgring
1954,pedralbes,Circuit de Pedralbes,Barcelona,Spain,41.3903,2.11667,Barcelona,http://en.wikipedia.org/wiki/Pedralbes_Circuit
1954,reims,Reims-Gueux,Reims,France,49.2542,3.93083,Reims,http://en.wikipedia.org/wiki/Reims-Gueux
1954,silverstone,Silverstone Circuit,Silverstone,UK,52.0786,-1.01694,Silverstone,http://en.wikipedia.org/wiki/Silverstone_Circuit
