year,driverId,constructorId
2010,alonso,ferrari
2010,massa,ferrari
2010,hamilton,mclaren
2010,vettel,red_bull
2010,rosberg,mercedes
2010,michael_schumacher,mercedes
2010,button,mclaren
2010,webber,red_bull
2010,liuzzi,force_india
2010,barrichello,williams
2010,kubica,renault
2010,sutil,force_india
2010,alguersuari,toro_rosso
2010,hulkenberg,williams
2010,kovalainen,lotus_racing
2010,buemi,toro_rosso
2010,trulli,lotus_racing
2010,rosa,sauber
2010,bruno_senna,hrt
2010,glock,virgin
2010,petrov,renault
2010,kobayashi,sauber
2010,grassi,virgin
2010,chandhok,hrt
2010,yamamoto,hrt
2010,heidfeld,sauber
2010,klien,hrt
2011,vettel,red_bull
2011,hamilton,mclaren
2011,petrov,renault
2011,alonso,ferrari
2011,webber,red_bull
2011,button,mclaren
2011,massa,ferrari
2011,buemi,toro_rosso
2011,sutil,force_india
2011,resta,force_india
2011,alguersuari,toro_rosso
2011,heidfeld,renault
2011,trulli,lotus_racing
2011,ambrosio,virgin
2011,glock,virgin
2011,barrichello,williams
2011,rosberg,mercedes
2011,kovalainen,lotus_racing
2011,michael_schumacher,mercedes
2011,maldonado,williams
2011,kobayashi,sauber
2011,perez,sauber
2011,liuzzi,hrt
2011,karthikeyan,hrt
2011,rosa,sauber
2011,ricciardo,hrt
2011,chandhok,lotus_racing
2011,bruno_senna,renault
2012,button,mclaren
2012,vettel,red_bull
2012,hamilton,mclaren
2012,webber,red_bull
2012,alonso,ferrari
2012,kobayashi,sauber
2012,raikkonen,lotus_f1
2012,perez,sauber
2012,ricciardo,toro_rosso
2012,resta,force_india
2012,vergne,toro_rosso
2012,rosberg,mercedes
2012,maldonado,williams
2012,glock,marussia
2012,pic,marussia
2012,bruno_senna,williams
2012,massa,ferrari
2012,kovalainen,caterham
2012,petrov,caterham
2012,michael_schumacher,mercedes
2012,grosjean,lotus_f1
2012,hulkenberg,force_india
2012,rosa,hrt
2012,karthikeyan,hrt
2012,ambrosio,lotus_f1
2013,raikkonen,lotus_f1
2013,alonso,ferrari
2013,vettel,red_bull
2013,massa,ferrari
2013,hamilton,mercedes
2013,webber,red_bull
2013,sutil,force_india
2013,resta,force_india
2013,button,mclaren
2013,grosjean,lotus_f1
2013,perez,mclaren
2013,vergne,toro_rosso
2013,gutierrez,sauber
2013,bottas,williams
2013,jules_bianchi,marussia
2013,pic,caterham
2013,chilton,marussia
2013,garde,caterham
2013,ricciardo,toro_rosso
2013,rosberg,mercedes
2013,maldonado,williams
2013,hulkenberg,sauber
2013,kovalainen,lotus_f1
2014,rosberg,mercedes
2014,kevin_magnussen,mclaren
2014,button,mclaren
2014,alonso,ferrari
2014,bottas,williams
2014,hulkenberg,force_india
