year,DriverId,Number,code,forename,surname,dob,nationality,url
1950,ader,,,Walt,Ader,1913-12-15,American,http://en.wikipedia.org/wiki/Walt_Ader
1950,agabashian,,,Fred,Agabashian,1913-08-21,American,http://en.wikipedia.org/wiki/Fred_Agabashian
1950,ascari,,,Alberto,Ascari,1918-07-13,Italian,http://en.wikipedia.org/wiki/Alberto_Ascari
1950,banks,,,Henry,Banks,1913-06-14,American,http://en.wikipedia.org/wiki/Henry_Banks
1950,bettenhausen,,,Tony,Bettenhausen,1916-09-12,American,http://en.wikipedia.org/wiki/Tony_Bettenhausen
1950,biondetti,,,Clemente,Biondetti,1898-08-18,Italian,http://en.wikipedia.org/wiki/Clemente_Biondetti
1950,bira,,,Prince,Bira,1914-07-15,Thai,http://en.wikipedia.org/wiki/Prince_Bira
1950,bonetto,,,Felice,Bonetto,1903-06-09,Italian,http://en.wikipedia.org/wiki/Felice_Bonetto
1950,branca,,,Toni,Branca,1916-09-15,Swiss,http://en.wikipedia.org/wiki/Toni_Branca
1950,walt_brown,,,Walt,Brown,1911-12-30,American,http://en.wikipedia.org/wiki/Walt_Brown_(auto_racer)
1950,cabantous,,,Yves,Cabantous,1904-10-08,French,http://en.wikipedia.org/wiki/Yves_Giraud_Cabantous
1950,cantrell,,,Bill,Cantrell,1908-01-31,American,http://en.wikipedia.org/wiki/William_Cantrell
1950,darter,,,Duane,Carter,1913-05-05,American,http://en.wikipedia.org/wiki/Duane_Carter
1950,chaboud,,,Eugène,Chaboud,1907-04-12,French,http://en.wikipedia.org/wiki/Eug%C3%A8ne_Chaboud
1950,chiron,,,Louis,Chiron,1899-08-03,Monegasque,http://en.wikipedia.org/wiki/Louis_Chiron
1950,chitwood,,,Joie,Chitwood,1912-04-14,American,http://en.wikipedia.org/wiki/Joie_Chitwood
1950,claes,,,Johnny,Claes,1916-08-11,Belgian,http://en.wikipedia.org/wiki/Johnny_Claes
1950,comotti,,,Franco,Comotti,1906-07-24,Italian,http://en.wikipedia.org/wiki/Franco_Comotti
1950,george_connor,,,George,Connor,1906-08-16,American,http://en.wikipedia.org/wiki/George_Connor_(driver)
1950,crossley,,,Geoff,Crossley,1921-05-11,British,http://en.wikipedia.org/wiki/Geoff_Crossley
1950,davies,,,Jimmy,Davies,1929-08-08,American,http://en.wikipedia.org/wiki/Jimmy_Davies
1950,graffenried,,,Toulo,de Graffenried,1914-05-18,Swiss,http://en.wikipedia.org/wiki/Toulo_de_Graffenried
1950,dinsmore,,,Duke,Dinsmore,1913-04-10,American,http://en.wikipedia.org/wiki/Duke_Dinsmore
1950,etancelin,,,Philippe,Étancelin,1896-12-28,French,http://en.wikipedia.org/wiki/Philippe_%C3%89tancelin
1950,fagioli,,,Luigi,Fagioli,1898-06-09,Italian,http://en.wikipedia.org/wiki/Luigi_Fagioli
1950,fangio,,,Juan,Fangio,1911-06-24,Argentine,http://en.wikipedia.org/wiki/Juan_Manuel_Fangio
1950,farina,,,Nino,Farina,1906-10-30,Italian,http://en.wikipedia.org/wiki/Nino_Farina
1950,faulkner,,,Walt,Faulkner,1920-02-16,American,http://en.wikipedia.org/wiki/Walt_Faulkner
1950,flaherty,,,Pat,Flaherty,1926-01-06,American,http://en.wikipedia.org/wiki/Pat_Flaherty_(racing_driver)
1950,fohr,,,Myron,Fohr,1912-06-17,American,http://en.wikipedia.org/wiki/Myron_Fohr
1950,fry,,,Joe,Fry,1915-10-26,British,http://en.wikipedia.org/wiki/Joe_Fry
1950,gerard,,,Bob,Gerard,1914-01-19,British,http://en.wikipedia.org/wiki/Bob_Gerard
1950,gonzalez,,,José Froilán,González,1922-10-05,Argentine,http://en.wikipedia.org/wiki/Jos%C3%A9_Froil%C3%A1n_Gonz%C3%A1lez
1950,green,,,Cecil,Green,1919-09-30,American,http://en.wikipedia.org/wiki/Cecil_Green
1950,hampshire,,,David,Hampshire,1917-12-29,British,http://en.wikipedia.org/wiki/David_Hampshire
1950,hanks,,,Sam,Hanks,1914-07-13,American,http://en.wikipedia.org/wiki/Sam_Hanks
1950,harrison,,,Cuth,Harrison,1906-07-06,British,http://en.wikipedia.org/wiki/Cuth_Harrison
1950,hartley,,,Gene,Hartley,1926-01-28,American,http://en.wikipedia.org/wiki/Gene_Hartley
1950,hellings,,,Mack,Hellings,1915-09-14,American,http://en.wikipedia.org/wiki/Mack_Hellings
1950,holland,,,Bill,Holland,1907-12-18,American,http://en.wikipedia.org/wiki/Bill_Holland
1950,holmes,,,Jackie,Holmes,1920-09-04,American,http://en.wikipedia.org/wiki/Jackie_Holmes
1950,hoyt,,,Jerry,Hoyt,1929-01-29,American,http://en.wikipedia.org/wiki/Jerry_Hoyt
1950,jackson,,,Jimmy,Jackson,1910-07-25,American,http://en.wikipedia.org/wiki/Jimmy_Jackson_(driver)
1950,leslie_johnson,,,Leslie,Johnson,1912-03-22,British,http://en.wikipedia.org/wiki/Leslie_Johnson_(racing_driver)
1950,kelly,,,Joe,Kelly,1913-03-13,Irish,http://en.wikipedia.org/wiki/Joe_Kelly_(Formula_One)
1950,levegh,,,Pierre,Levegh,1905-12-22,French,http://en.wikipedia.org/wiki/Pierre_Levegh
