year,raceId,driverId,stop,lap,time,round,duration
2011,Australian Grand Prix,alguersuari,1,1,17:05:23,1,26.898
2011,Australian Grand Prix,michael_schumacher,1,1,17:05:52,1,25.021
2011,Australian Grand Prix,webber,1,11,17:20:48,1,23.426
2011,Australian Grand Prix,alonso,1,12,17:22:34,1,23.251
2011,Australian Grand Prix,massa,1,13,17:24:10,1,23.842
2011,Australian Grand Prix,barrichello,1,13,17:24:29,1,23.643
2011,Australian Grand Prix,vettel,1,14,17:25:17,1,22.603
2011,Australian Grand Prix,resta,1,14,17:26:03,1,24.863
2011,Australian Grand Prix,ambrosio,1,14,17:26:50,1,25.259
2011,Australian Grand Prix,buemi,1,15,17:27:34,1,25.342
2011,Australian Grand Prix,heidfeld,1,15,17:27:41,1,22.994
2011,Australian Grand Prix,hamilton,1,16,17:28:24,1,23.227
2011,Australian Grand Prix,petrov,1,16,17:28:39,1,24.535
2011,Australian Grand Prix,rosberg,1,16,17:29:00,1,23.716
2011,Australian Grand Prix,kobayashi,1,16,17:29:06,1,24.064
2011,Australian Grand Prix,sutil,1,16,17:29:08,1,25.978
2011,Australian Grand Prix,trulli,1,16,17:29:49,1,24.899
2011,Australian Grand Prix,button,1,17,17:30:24,1,16.867
2011,Australian Grand Prix,alguersuari,2,17,17:31:06,1,24.463
2011,Australian Grand Prix,kovalainen,1,17,17:31:11,1,24.865
2011,Australian Grand Prix,michael_schumacher,2,17,17:32:08,1,23.988
2011,Australian Grand Prix,glock,1,18,17:33:02,1,23.792
2011,Australian Grand Prix,button,2,19,17:33:53,1,23.303
2011,Australian Grand Prix,perez,1,23,17:40:27,1,23.438
2011,Australian Grand Prix,barrichello,2,23,17:40:45,1,37.856
2011,Australian Grand Prix,webber,2,26,17:44:29,1,22.520
2011,Australian Grand Prix,alonso,2,27,17:46:04,1,24.733
2011,Australian Grand Prix,barrichello,3,28,17:49:07,1,16.892
2011,Australian Grand Prix,buemi,2,29,17:49:47,1,23.100
2011,Australian Grand Prix,heidfeld,2,30,17:51:32,1,25.098
2011,Australian Grand Prix,massa,2,31,17:52:28,1,24.500
2011,Australian Grand Prix,kobayashi,2,32,17:54:21,1,24.192
2011,Australian Grand Prix,vettel,2,36,17:59:17,1,24.036
2011,Australian Grand Prix,hamilton,2,36,17:59:29,1,23.199
2011,Australian Grand Prix,alguersuari,3,35,17:59:45,1,26.348
2011,Australian Grand Prix,petrov,2,36,17:59:47,1,25.683
2011,Australian Grand Prix,resta,2,36,18:00:48,1,24.332
2011,Australian Grand Prix,button,3,37,18:01:49,1,22.681
2011,Australian Grand Prix,sutil,2,37,18:02:15,1,23.871
2011,Australian Grand Prix,trulli,2,37,18:03:55,1,24.848
2011,Australian Grand Prix,ambrosio,2,38,18:06:53,1,26.446
2011,Australian Grand Prix,webber,3,41,18:07:37,1,26.230
2011,Australian Grand Prix,barrichello,4,40,18:08:03,1,26.309
2011,Australian Grand Prix,alonso,3,42,18:09:08,1,24.181
2011,Australian Grand Prix,massa,3,48,18:18:54,1,24.095
2011,Malaysian Grand Prix,sutil,1,3,16:09:07,2,31.694
2011,Malaysian Grand Prix,barrichello,1,3,16:10:04,2,32.978
2011,Malaysian Grand Prix,webber,1,10,16:21:21,2,22.572
2011,Malaysian Grand Prix,resta,1,11,16:23:16,2,22.773
2011,Malaysian Grand Prix,hamilton,1,12,16:24:40,2,22.552
2011,Malaysian Grand Prix,vettel,1,13,16:26:17,2,23.019
2011,Malaysian Grand Prix,heidfeld,1,13,16:26:28,2,23.900
2011,Malaysian Grand Prix,button,1,13,16:26:29,2,22.400
2011,Malaysian Grand Prix,massa,1,13,16:26:30,2,29.224
2011,Malaysian Grand Prix,trulli,1,13,16:27:03,2,25.516
2011,Malaysian Grand Prix,alonso,1,14,16:28:15,2,23.152
