,year,driverId,ConstructorId,number,position,qualifyId,raceId,q1,q2,q3
0,2010,vettel,red_bull,5,1,1,Bahrain Grand Prix,1:55.029,1:53.883,1:54.101
1,2010,massa,ferrari,7,2,1,Bahrain Grand Prix,1:55.313,1:54.331,1:54.242
2,2010,alonso,ferrari,8,3,1,Bahrain Grand Prix,1:54.612,1:54.172,1:54.608
3,2010,hamilton,mclaren,2,4,1,Bahrain Grand Prix,1:55.341,1:54.707,1:55.217
4,2010,rosberg,mercedes,4,5,1,Bahrain Grand Prix,1:55.463,1:54.682,1:55.241
5,2010,webber,red_bull,6,6,1,Bahrain Grand Prix,1:55.298,1:54.318,1:55.284
6,2010,michael_schumacher,mercedes,3,7,1,Bahrain Grand Prix,1:55.593,1:55.105,1:55.524
7,2010,button,mclaren,1,8,1,Bahrain Grand Prix,1:55.715,1:55.168,1:55.672
8,2010,kubica,renault,11,9,1,Bahrain Grand Prix,1:55.511,1:54.963,1:55.885
9,2010,sutil,force_india,14,10,1,Bahrain Grand Prix,1:55.213,1:54.996,1:56.309
10,2010,barrichello,williams,9,11,1,Bahrain Grand Prix,1:55.969,1:55.330,
11,2010,liuzzi,force_india,15,12,1,Bahrain Grand Prix,1:55.628,1:55.623,
12,2010,hulkenberg,williams,10,13,1,Bahrain Grand Prix,1:56.375,1:55.857,
13,2010,rosa,sauber,22,14,1,Bahrain Grand Prix,1:56.428,1:56.237,
14,2010,buemi,toro_rosso,16,15,1,Bahrain Grand Prix,1:56.189,1:56.265,
15,2010,kobayashi,sauber,23,16,1,Bahrain Grand Prix,1:56.541,1:56.270,
16,2010,petrov,renault,12,17,1,Bahrain Grand Prix,1:56.167,1:56.619,
17,2010,alguersuari,toro_rosso,17,18,1,Bahrain Grand Prix,1:57.071,,
18,2010,glock,virgin,24,19,1,Bahrain Grand Prix,1:59.728,,
19,2010,trulli,lotus_racing,18,20,1,Bahrain Grand Prix,1:59.852,,
20,2010,kovalainen,lotus_racing,19,21,1,Bahrain Grand Prix,2:00.313,,
21,2010,grassi,virgin,25,22,1,Bahrain Grand Prix,2:00.587,,
22,2010,bruno_senna,hrt,21,23,1,Bahrain Grand Prix,2:03.204,,
23,2010,chandhok,hrt,20,24,1,Bahrain Grand Prix,2:04.904,,
24,2010,vettel,red_bull,5,1,2,Australian Grand Prix,1:24.774,1:24.096,1:23.919
25,2010,webber,red_bull,6,2,2,Australian Grand Prix,1:25.286,1:24.276,1:24.035
26,2010,alonso,ferrari,8,3,2,Australian Grand Prix,1:25.082,1:24.335,1:24.111
27,2010,button,mclaren,1,4,2,Australian Grand Prix,1:24.897,1:24.531,1:24.675
28,2010,massa,ferrari,7,5,2,Australian Grand Prix,1:25.548,1:25.010,1:24.837
29,2010,rosberg,mercedes,4,6,2,Australian Grand Prix,1:24.788,1:24.788,1:24.884
30,2010,michael_schumacher,mercedes,3,7,2,Australian Grand Prix,1:25.351,1:24.871,1:24.927
31,2010,barrichello,williams,9,8,2,Australian Grand Prix,1:25.702,1:25.085,1:25.217
32,2010,kubica,renault,11,9,2,Australian Grand Prix,1:25.588,1:25.122,1:25.372
33,2010,sutil,force_india,14,10,2,Australian Grand Prix,1:25.504,1:25.046,1:26.036
34,2010,hamilton,mclaren,2,11,2,Australian Grand Prix,1:25.046,1:25.184,
35,2010,buemi,toro_rosso,16,12,2,Australian Grand Prix,1:26.061,1:25.638,
36,2010,liuzzi,force_india,15,13,2,Australian Grand Prix,1:26.170,1:25.743,
37,2010,rosa,sauber,22,14,2,Australian Grand Prix,1:26.089,1:25.747,
